# Export from Google sheet at https://docs.google.com/spreadsheets/d/1wCQPQdr9yOmjDu9Ab79-Om0IzIgIXmnkuOUfvBTcAkU/edit#gid=0
# Generated 2019-04-28
Phenotype Area	Tag name (phenotype concept)	Description	Instructions	UMLS CUI	UMLS term
Demographics	Gender	Self-reported sex or gender identity	Include variables that represent self-reported sex or self-reported gender identity. Include only self-reported information. Multiple categories of gender may be included among the values of such variables, such as male, female, transgender, and others.  Include all time points and all repeated self-reported variables within each time point. Include all instances of duplicated variables, e.g. gender variables from two different datasets. Do not include variables representing genetic or other categorizations of sex assigned by clinicians or research investigators.	C0017249	Gender identity
Demographics	Race/ancestry/ethnicity	Self-reported race, ancestry or ethnicity	Include variables that represent race, ancestral geographic origins, ethnicity,  or a combination of both.  Include only self-reported responses. Include variables with self-reported values such as "white", "black", "European", "Asian", "Native American", "African", "Spanish", "Samoan", "Puerto Rican", "Amish", "Hispanic", etc.  Include indicator variables for Hispanic/Latino ethnicity. Include all instances of duplicated variables, e.g. variables from multiple exams or different datasets. Do not include genetically-determined ancestry variables (e.g. principal components of genotypes) or categories (e.g. mtDNA haplogroups).	C1830369	Race or ethnicity
Anthropometry	Height	Standing body height measurement	Include variables that represent a body height measurement, as measured when standing. Include all time points and all repeated measures within each time point, e.g. height measured at multiple exams. Include all instances of duplicated variables, e.g. height variables included in multiple datasets. Include variables in all measurement units available, e.g. height in inches and height in centimeters. Do not include variables for which height is a component, e.g. BMI. Do not include sitting height variables. Do not include self-reported height variables.	C0005890	Body height
Anthropometry	Weight	Body weight measurement	Include variables that represent a body weight measurement. Include all time points and all repeated measures within each time point, e.g. weight measured at multiple exams. Include all instances of duplicated variables, e.g. weight variables included in multiple datasets. Include variables in all measurement units available, e.g. weight in kilograms and weight in pounds. Do not include variables for which weight is a component, e.g. BMI. Do not include self-reported weight variables.	C0005910	Body weight
Anthropometry	BMI	Body mass index (weight divided by the square of height)	Include variables that represent calculated BMI. The units of BMI are usually kilograms per meter squared, but variables with other units should be included. Include all time points and all repeated measures within each time point, e.g. BMI measured at multiple exams. Include all instances of duplicated variables, e.g. BMI variables included in multiple datasets. Do not include variables that represent the height and weight components used to derive BMI.	C1305855	Body mass index
Anthropometry	Waist circumference	Waist circumference measurement	Include variables that represent a waist circumference measurement. Include all time points and all repeated measures within each time point, e.g. waist circumference measured at multiple exams. Include all instances of duplicated variables, e.g. waist circumference variables included in multiple datasets. Include variables in all measurement units available, e.g. waist circumference in inches and waist circumference in centimeters. Do not include variables of which waist circumference is a component, e.g. waist-hip ratio.	C0455829	Waist circumference
Anthropometry	Hip circumference	Hip circumference measurement	Include variables that represent a hip circumference measurement. Include all time points and all repeated measures within each time point, e.g. hip circumference measured at multiple exams. Include all instances of duplicated variables, e.g. hip circumference variables included in multiple datasets. Include variables in all measurement units available, e.g. hip circumference in inches and hip circumference in centimeters. Do not include variables of which hip circumference is a component, e.g. waist-hip ratio.	C0562350	Hip circumference
Anthropometry	Waist-hip ratio	Ratio of waist to hip circumference	Include variables that represent a calculated waist circumference to hip circumference ratio. Include all time points and all repeated measures within each time point, e.g. waist-hip ratio at multiple exams. Include all instances of duplicated variables, e.g. waist-hip ratio variables included in multiple datasets. Do not include variables that represent the separate waist circumference and  hip circumference components used to derive the waist-hip ratio.	C0205682	Waist-hip ratio
Cardiovascular disease	CAC	Quantitative measure of coronary artery calcification (CAC) by computed tomography (CT) scan	Include variables that represent a CAC measurement from a CT scan. Include both individual and composite measures of coronary artery calcification (CAC), such as Agatston score, density or mass, and volume. Examples of individual measures are CAC score for left main artery or right coronary artery. An example of a composite measure is total CAC score across four arterial regions. Include both corrected/adjusted and uncorrected/unadjusted measures of CAC. Include all time points and all repeated measures within each time point, e.g. CAC measured at multiple exams.	C1611184	Calcification of coronary artery
Cardiovascular disease	Carotid IMT	Quantitative measure of carotid intima media thickness (IMT) by ultrasound	Include variables that represent a carotid IMT measurement from an ultrasound. Include all time points and all repeated measures within each time point, e.g. carotid IMT measured at multiple exams. Include both individual and composite measures of carotid IMT. An example of an individual measure of carotid IMT is maximum right common carotid far wall thickness. An example of a composite carotid IMT measure is mean maximum common carotid far wall thickness. Include measures by ultrasound only. Include both corrected/adjusted and uncorrected/unadjusted measures. Do not include qualitative assessment of plaque and stenosis. Do not include measurements by methods other than ultrasound.	C1960466	Carotid Intima-Media Thickness
Cardiovascular disease	Myocardial infarction	Qualitative indicator of myocardial infarction (MI) status	Include variables that represent whether or when a subject has experienced MI. Include variables that represent prevalent and/or incident MI status. Include variables that represent MI event data, including event status and time-to-event variables. Include variables that indicate age at MI events, e.g. self-reported age at an MI event. Include variables indicating MI status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. MI events variables included in multiple datasets. Do not include variables that indicate possible MI treatments, e.g. coronary artery bypass surgery (CABG) or angioplasty. Do not include variables that indicate medication use related to MI, e.g. beta blocker, statin, or aspirin use.	C2926063	Myocardial infarction:Finding:Point in time:^Patient:Ordinal
Cardiovascular disease	Coronary angioplasty	Qualitative indicator of coronary angioplasty status	Include variables that represent whether or when a subject has experienced a coronary angioplasty. Include variables that represent prevalent and/or incident coronary angioplasty status. Include variables that represent coronary angioplasty event data, including event status and time-to-event variables. Include variables that indicate age at coronary angioplasty events, e.g. self-reported age at coronary angioplasty event. Include variables indicating coronary angioplasty status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits (e.g. evidence of coronary stent in CT scan). Include all instances of duplicated variables, e.g. coronary angioplasty events variables included in multiple datasets.	C3542439	presence of coronary angioplasty implant and graft (physical finding)
Cardiovascular disease	Coronary artery bypass graft	Qualitative indicator of coronary artery bypass graft (CABG) status	Include variables that represent whether or when a subject has experienced a CABG. Include variables that represent prevalent and/or incident CABG status. Include variables that represent CABG event data, including event status and time-to-event variables. Include variables that indicate age at CABG events, e.g. self-reported age at an CABG event. Include variables indicating CABG status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. CABG events variables included in multiple datasets.	C0585628	Presence of coronary artery bypass graft
Cardiovascular disease	Heart failure	Qualitative indicator of heart failure status	Include variables that represent whether or when a subject has experienced heart failure. Include variables that represent prevalent and/or incident heart failure status. Include variables that represent heart failure event data, including event status and time-to-event variables. Include variables that indicate age at heart failure events, e.g. self-reported age at a heart failure event. Include variables indicating heart failure status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. heart failure events variables included in multiple datasets. Do not include variables that indicate medication use related to heart failure, e.g. diuretic use.	C0018801	Heart failure
Blood pressure	Resting arm systolic BP	Quantitative measure of resting systolic blood pressure	Include variables that represent a systolic BP measurement, as measured by sphygmomanometer from the upper arm while sitting or lying down. Include all time points and all repeated measures at each time point, e.g. systolic BP measured at multiple exams, and systolic BP measured multiple times at the same exam. Include all instances of duplicated variables, e.g. systolic BP variables included in multiple datasets. Include both individual measures of systolic BP and averages thereof. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables containing zero-reading data needed to calibrate systolic BP measures e.g. from a random-zero sphygmomanometer. Do not include systolic BP variables measured by means other than sphygmomanometer (blood pressure cuff), e.g. by ultrasound. Do not include ambulatory BP variables from a portable BP monitor, but do include any systolic BP measurements from a sphygmomanometer used to calibrate the ambulatory BP apparatus. Do not include ankle systolic BP measurements for calculating ankle-brachial index (ABI), but do include arm systolic BP components used to calculate ABI as long as they are measured by sphygmomanometer while seated or lying down. Do not include variables for which systolic BP is a component, e.g. ABI.	C2039694	Systolic blood pressure at rest
Blood pressure	Resting arm diastolic BP	Quantitative measure of resting diastolic blood pressure	Include variables that represent a diastolic BP measurement, as measured by sphygmomanometer from the upper arm while sitting or lying down. Include all time points and all repeated measures at each time point, e.g. diastolic BP measured at multiple exams, and diastolic BP measured multiple times at the same exam. Include all instances of duplicated variables, e.g. diastolic BP variables included in multiple datasets. Include both individual measures of diastolic BP and averages thereof. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables containing zero-reading data needed to calibrate diastolic BP measures e.g. from a random-zero sphygmomanometer. Do not include diastolic BP variables measured by means other than sphygmomanometer, e.g. by ultrasound. Do not include ambulatory BP variables from a portable BP monitor, but do include any diastolic BP measurements from a sphygmomanometer used to calibrate the ambulatory BP apparatus.	C2183311	Diastolic blood pressure at rest
Blood pressure	Hypertension	Qualitative indicator of hypertension status	Include variables that represent whether or when a subject has had hypertension. Include variables that represent prevalent and/or incident hypertension status. Include variables that represent hypertension event data, including event status and time-to-event variables. Include variables that indicate age at hypertension events, e.g. self-reported age at hypertension diagnosis. Include variables indicating hypertension status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. hypertension status variables included in multiple datasets. Do not include variables that indicate medication use related to hypertension treatment, e.g. beta blocker, ACE inhibitor, or calcium channel blocker use. Do not include systolic or diastolic blood pressure measurements or hypertension medication status that could be used to derive hypertension status.	C3843080	Hypertension or high blood pressure
Diabetes	Blood glucose	Quantitative measure of the concentration of glucose in blood.	Include variables that represent a measurement of the concentration of glucose in the blood. Include all time points and all repeated measures within each time point, e.g. blood glucose measured at multiple exams. Include all instances of duplicated variables, e.g. blood glucose variables included in multiple datasets. Include variables in all measurement units available, e.g. blood glucose in mg/dL and blood glucose in mmol/L. Include single-time-point blood glucose measurements, as well as time-series blood glucose measurements, e.g. blood glucose measurements from the Oral Glucose Tolerance Test (OGTT) and Frequently Sampled Intravenous Glucose Tolerance test (FSIGT). For OGTT and FSIGT blood glucose measures, also include variables representing measurement time points. Include both random and fasting blood glucose measurements. Include both corrected/adjusted and uncorrected/unadjusted blood glucose measures. Do not include variables for which blood glucose is a component, e.g. diabetes status indicators.	C1320980	Blood glucose status
Diabetes	Insulin in blood	Quantitative measure of the concentration of insulin in blood.	Include variables that represent a measurement of the concentration of insulin in the blood. Include all time points and all repeated measures within each time point, e.g. insulin measured at multiple exams. Include all instances of duplicated variables, e.g. insulin variables included in multiple datasets. Include variables in all measurement units available, e.g. insulin in mg/dL and insulin in mmol/L. Include single-time-point insulin measurements, as well as time-series insulin measurements, e.g. insulin measurements from the Oral Glucose Tolerance Test (OGTT) and Frequently Sampled Intravenous Glucose Tolerance test (FSIGT), when available. For OGTT and FSIGT insulin measures, also include variables representing measurement time points. Include both random and fasting insulin measurements. Include both corrected/adjusted and uncorrected/unadjusted insulin measures. Do not include variables for which insulin is a component, e.g. diabetes status indicators.	C0428405	insulin level result
Diabetes	HbA1c	Quantitative measure of the concentration of glycated hemoglobin (hemoglobin A1c, or HbA1c) in blood	Include variables that represent a measurement of the concentration of HbA1c in the blood. Include all time points and all repeated measures at each time point, e.g. HbA1c measured at multiple exams, and HbA1c measured multiple times at the same exam. Include all instances of duplicated variables, e.g. HbA1c variables included in multiple datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables in all measurement units available, e.g. HbA1c in mg/dL and HbA1c in mmol/L.	C1261236	Hemoglobin A1c level result
Diabetes	Diabetes	Qualitative indicator of diabetes mellitus status	Include variables that represent whether or when a subject has experienced diabetes. Include variables that represent prevalent and/or incident diabetes status. Include variables that represent diabetes onset event data, including event status and time-to-event variables. Include variables that indicate age at diabetes onset, e.g. self-reported age at diabetes diagnosis. Include variables indicating diabetes status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. diabetes onset variables included in multiple datasets. Include categorical variables indicating diabetes categories, e.g. non-diabetic, pre-diabetic, and diabetic, or other subcategories of diabetes. Do not include variables that indicate possible diabetes treatments, e.g. glucose meter use. Do not include variables that indicate medication use related to diabetes, e.g. insulin injection or metformin use. Do not include quantitative measures of insulin, glucose, diabetes medication status, or other factors used to calculate/infer diabetes status.	C0011849	Diabetes Mellitus
EKG/Arrhythmia	Atrial fibrillation/flutter	Qualitative indicator of atrial fibrillation or atrial flutter status	Include variables that represent whether or when a subject has experienced atrial fibrillation or flutter. Include variables that represent prevalent and/or incident atrial fibrillation status. Include variables that represent atrial fibrillation event data, including event status and time-to-event variables. Include variables that indicate age at atrial fibrillation events, e.g. self-reported age at an atrial fibrillation event. Include variables indicating atrial fibrillation status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. atrial fibrillation events variables included in multiple datasets. Do not include variables that indicate possible atrial fibrillation treatments, e.g. cardioversion or surgical interventions. Do not include variables that indicate medication use related to atrial fibrillation treatment, e.g. anticoagulant use.	C0155709	Atrial fibrillation and flutter
EKG/Arrhythmia	QRS duration from EKG	Quantitative measure of QRS duration from electrocardiogram (EKG) data	Include variables that represent a QRS duration measurement from an EKG. Include all time points and all repeated measures within each time point, e.g. QRS duration measured at multiple exams. Include all instances of duplicated variables, e.g. QRS duration variables included in multiple datasets. Include variables in all measurement units available, e.g. QRS duration in milliseconds and QRS duration in seconds. Include variables from individual leads, as well as the composite variable. Include both corrected/adjusted and uncorrected/unadjusted measures.	C0429025	QRS complex duration (observable entity)
EKG/Arrhythmia	QT interval from EKG	Quantitative measure of QT interval from electrocardiogram (EKG) data	Include variables that represent a QT interval measurement from an EKG. Include all time points and all repeated measures within each time point, e.g. QT interval measured at multiple exams. Include all instances of duplicated variables, e.g. QT interval variables included in multiple datasets. Include variables in all measurement units available, e.g. QT interval in milliseconds and QT interval in seconds. Include variables from individual leads, as well as the composite variable. Include both corrected/adjusted and uncorrected/unadjusted measures.	C0429028	QT interval feature (observable entity)
EKG/Arrhythmia	PR interval from EKG	Quantitative measure of PR interval from electrocardiogram (EKG) data	Include variables that represent a PR interval measurement from an EKG. Include all time points and all repeated measures within each time point, e.g. PR interval measured at multiple exams. Include all instances of duplicated variables, e.g. PR interval variables included in multiple datasets. Include variables in all measurement units available, e.g. PR interval in milliseconds and PR interval in seconds. Include variables from individual leads, as well as the composite variable. Include both corrected/adjusted and uncorrected/unadjusted measures.	C0520877	PR interval feature
EKG/Arrhythmia	Resting heart rate from EKG	Quantitative measure of heart rate (HR) from electrocardiogram (EKG) data	Include variables that represent a heart rate measurement from an EKG, or an RR interval variable that could be used to calculate heart rate. Include all time points and all repeated measures within each time point, e.g. heart rate measured at multiple exams. Include all instances of duplicated variables, e.g. heart rate variables included in multiple datasets. Include variables in all measurement units available, e.g. heart rate in beats per minute. Include both corrected/adjusted and uncorrected/unadjusted measures. Do not include heart rate measured by means other than EKG, e.g. pulse or heart rate monitor.	C2041121	electrocardiogram rhythm strip 3-lead heart rate (bpm)
EKG/Arrhythmia	LVH from EKG	Quantitative index of left ventricular hypertrophy (LVT) calculated from electrocardiogram (EKG) data	Include variables that represent indices of LVH, calculated from EKG data. Include LVH index variables calculated by Cornell, Sokolow-Lyon, Romhilt-Estes, or other criteria. Include all time points and all repeated measures within each time point, e.g. LVH index calculated at multiple exams. Include all instances of duplicated variables, e.g. LVH index variables repeated in multiple datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. Do not include measures of LVH calculated by other means, e.g. LVH from echocardiography, or LVH from cardiac MRI.	C0232306	Electrocardiogram: left ventricle hypertrophy (finding)
EKG/Arrhythmia	Pacemaker	Qualitative indicator of pacemaker implant status	Include variables that represent whether or when a subject has had a pacemaker implant. Include variables that represent prevalent and/or incident pacemaker implant status. Include variables that represent pacemaker implant event data, including implantation event status and time-to-event variables. Include variables that indicate age at pacemaker implant events, e.g. self-reported age at pacemaker implantation. Include variables indicating pacemaker implant status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. pacemaker implant variables included in multiple datasets.	C1533090	Pacemaker observable
Hematology & Hemostasis	Hematocrit	Quantitative measure of the fraction of blood volume that is composed of red blood cells	Include variables that represent a hematocrit measurement, usually from a Complete Blood Count (CBC), but also from any other hematocrit measurement from blood. Include all time points and all repeated measures within each time point, e.g. hematocrit measured at multiple exams. Include all instances of duplicated variables, e.g. hematocrit variables included in multiple datasets. Include variables in all measurement units available, e.g. hematocrit as a proportion and hematocrit as a percentage. Include both corrected/adjusted and uncorrected/unadjusted measures.	C0518014	Hematocrit level
Hematology & Hemostasis	Hemoglobin	Quantitative measure of hemoglobin concentration in blood	Include variables that represent a hemoglobin concentration measurement, usually from a Complete Blood Count (CBC), but also from any other hemoglobin measurement from blood. Include all time points and all repeated measures within each time point, e.g. hemoglobin measured at multiple exams. Include all instances of duplicated variables, e.g. hemoglobin variables included in multiple datasets. Include variables in all measurement units available, e.g. hemoglobin in grams/dL and hemoglobin in grams/L.	C0019029	Hemoglobin concentration result
Hematology & Hemostasis	Platelet count	Quantitative measure of platelet cell number per volume of blood	Include variables that represent a platelet count measurement, usually from a Complete Blood Count (CBC), but also from any other platelet count measurement from blood. Include all time points and all repeated measures within each time point, e.g. platelet count measured at multiple exams. Include all instances of duplicated variables, e.g. platelet count variables included in multiple datasets. Include variables in all measurement units available, e.g. platelets count as cells/L and platelets count as billion cells/L. Include both corrected/adjusted and uncorrected/unadjusted measures.	C1287267	Finding of platelet count
Hematology & Hemostasis	Red blood cell count	Quantitative measure of red blood cell number per volume of blood	Include variables that represent a red blood cell count measurement, usually from a Complete Blood Count (CBC), but also from any other red blood cell count measurement from blood. Include all time points and all repeated measures within each time point, e.g. red blood cell count measured at multiple exams. Include all instances of duplicated variables, e.g. red blood cell count variables included in multiple datasets. Include variables in all measurement units available, e.g. red blood cell count in cells/L and red blood cell count in cells/mcL. Include both corrected/adjusted and uncorrected/unadjusted measures.	C1287262	Finding of red blood cell count
Hematology & Hemostasis	White blood cell count	Quantitative measure of white blood cell number per volume of  blood	Include variables that represent a white blood cell count measurement, usually from a Complete Blood Count (CBC), but also from any other white blood cell count measurement from blood. Include all time points and all repeated measures within each time point, e.g. white blood cell count measured at multiple exams. Include all instances of duplicated variables, e.g. white blood cell count variables included in multiple datasets. Include variables in all measurement units available, e.g. white blood cell count in cells/L and white blood cell count in cells/mcL. Include both corrected/adjusted and uncorrected/unadjusted measures.	C0427512	White blood cell count laboratory result
